ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11003870,JA332210,7/2/2017 4:00,064XX N GREENVIEW AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2432,24,40,1,08B,1165100,1943065,2017,7/9/2017 15:51,41.99937541,-87.66799368,"(41.999375405, -87.667993677)"
11003867,JA332151,7/2/2017 23:40,062XX S RACINE AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,712,7,16,68,5,1169390,1863406,2017,7/9/2017 15:51,41.78069318,-87.65453023,"(41.780693179, -87.654530226)"
11003863,JA332196,7/2/2017 18:30,076XX S GREENWOOD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,624,6,8,69,7,1184882,1854371,2017,7/9/2017 15:51,41.75555067,-87.59801739,"(41.75555067, -87.598017388)"
11003861,JA332181,7/2/2017 15:00,060XX W DICKENS AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2512,25,29,19,7,1135580,1913159,2017,7/9/2017 15:51,41.91788847,-87.77730497,"(41.91788847, -87.777304967)"
11003859,JA332130,7/2/2017 23:50,030XX S WENTWORTH AVE,560,ASSAULT,SIMPLE,STREET,TRUE,TRUE,914,9,11,34,08A,1175442,1884802,2017,7/9/2017 15:51,41.83927256,-87.63170215,"(41.839272562, -87.631702151)"
11003857,JA332141,7/2/2017 23:30,063XX S LOWE AVE,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,BAR OR TAVERN,TRUE,FALSE,723,7,16,68,08B,1173131,1862699,2017,7/9/2017 15:51,41.77867124,-87.64083594,"(41.778671235, -87.640835937)"
11003854,JA332020,7/2/2017 21:00,003XX W SUPERIOR ST,461,BATTERY,AGG PO HANDS ETC SERIOUS INJ,OTHER,FALSE,FALSE,1831,18,42,8,04B,1174021,1905305,2017,7/9/2017 15:51,41.89556594,-87.63630563,"(41.895565935, -87.636305629)"
11003852,JA332091,7/2/2017 23:14,018XX W LAKE ST,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1223,12,27,28,08B,1164179,1901425,2017,7/9/2017 15:51,41.88513263,-87.67256259,"(41.885132633, -87.672562588)"
11003850,JA332071,7/2/2017 16:30,005XX S MICHIGAN AVE,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,123,1,2,32,6,1177364,1897937,2017,7/9/2017 15:51,41.87527257,-87.62425131,"(41.875272573, -87.624251314)"
11003849,JA331564,7/2/2017 14:09,005XX N AVERS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1122,11,27,23,08B,1150629,1903235,2017,7/9/2017 15:51,41.89037499,-87.7222734,"(41.890374989, -87.722273395)"
11003848,JA332040,7/2/2017 21:08,039XX W 70TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,TRUE,FALSE,833,8,13,65,15,1151300,1857560,2017,7/9/2017 15:51,41.76502355,-87.72100472,"(41.765023547, -87.721004719)"
11003845,JA332146,7/2/2017 23:45,026XX N MULLIGAN AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,APARTMENT,FALSE,FALSE,2512,25,29,19,10,1133633,1916838,2017,7/9/2017 15:51,41.9280185,-87.78437193,"(41.928018501, -87.784371934)"
11003844,JA332068,7/2/2017 22:30,068XX S GREEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,723,7,17,68,08B,1171818,1859432,2017,7/9/2017 15:51,41.76973511,-87.64574523,"(41.769735114, -87.645745232)"
11003842,JA332118,7/2/2017 23:30,031XX N LARAMIE AVE,330,ROBBERY,AGGRAVATED,SIDEWALK,FALSE,FALSE,2514,25,30,19,3,1141159,1920198,2017,7/9/2017 15:51,41.93710313,-87.75663322,"(41.93710313, -87.756633218)"
11003841,JA332117,7/2/2017 23:24,031XX N MONTICELLO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2523,25,35,21,14,1151521,1920630,2017,7/9/2017 15:51,41.93809098,-87.7185396,"(41.938090979, -87.718539602)"
11003839,JA332089,7/2/2017 20:25,078XX S CREGIER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,TRUE,TRUE,414,4,8,43,14,1189561,1853449,2017,7/9/2017 15:51,41.7529096,-87.58089982,"(41.752909599, -87.580899821)"
11003837,JA332138,7/2/2017 22:45,001XX E ROOSEVELT RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,114,1,2,32,08B,1177703,1895099,2017,7/9/2017 15:51,41.86747724,-87.62309287,"(41.867477242, -87.623092873)"
11003836,JA332143,7/2/2017 5:00,023XX W VAN BUREN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1225,12,2,28,08B,1160855,1898111,2017,7/9/2017 15:51,41.87610831,-87.68486083,"(41.876108306, -87.684860827)"
11003833,JA332163,7/2/2017 18:00,028XX S PRAIRIE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,FALSE,FALSE,133,1,4,35,26,1178515,1885949,2017,7/9/2017 15:51,41.84235057,-87.62039084,"(41.842350574, -87.620390837)"
11003832,JA332054,7/2/2017 22:30,001XX S HOMAN AVE,880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,TRUE,1123,11,28,27,6,1153740,1899213,2017,7/9/2017 15:51,41.87927685,-87.7109554,"(41.879276851, -87.710955399)"
11003831,JA332092,7/2/2017 23:15,004XX E 71ST ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,322,3,6,69,08B,1180601,1858048,2017,7/9/2017 15:51,41.76574009,-87.6135933,"(41.765740085, -87.613593295)"
11003830,JA332075,7/2/2017 22:17,016XX N MC VICKER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,TRUE,FALSE,2513,25,29,25,15,1135831,1910190,2017,7/9/2017 15:51,41.90973671,-87.77645359,"(41.909736709, -87.776453593)"
